fips,exp_police_pc,officers_pc,rev_prop_tax_pc,violent.crime.high,segregation.bw.high,segregation.lw.high
13103,159.25,40.29,357.75,FALSE,FALSE,FALSE
13113,246.94,60.51,540.05,FALSE,TRUE,TRUE
13115,169.52,63.67,493.99,TRUE,FALSE,TRUE
13117,175.06,65.25,404.43,FALSE,TRUE,TRUE
13121,355.32,16.68,1059.01,FALSE,TRUE,TRUE
13127,306.19,66.26,501.86,TRUE,TRUE,TRUE
13135,202.84,12.79,492.68,FALSE,TRUE,TRUE
13139,149.2,34.12,389.42,FALSE,FALSE,TRUE
13143,192.48,74.13,431.54,TRUE,TRUE,TRUE
13145,130.91,59.61,332.64,FALSE,TRUE,FALSE
13151,159.04,39.97,344.32,FALSE,TRUE,TRUE
13153,212.92,47.1,502.77,TRUE,FALSE,FALSE
13169,151.14,97.56,449.82,TRUE,TRUE,FALSE
13177,166.38,133.86,473.92,TRUE,TRUE,FALSE
13179,205.24,78.19,357.36,TRUE,FALSE,FALSE
13195,86.69,63.47,341.9,TRUE,FALSE,TRUE
13207,245.53,125.72,684.49,FALSE,TRUE,FALSE
13213,102.21,46.58,230.47,TRUE,FALSE,TRUE
13215,269.89,106.95,552.15,TRUE,TRUE,FALSE
13217,170.59,52.21,358.96,FALSE,TRUE,TRUE
13219,128.85,76.99,370.62,FALSE,FALSE,TRUE
13223,126.9,46.05,300.23,TRUE,TRUE,TRUE
13227,194.04,96.22,401.26,TRUE,TRUE,TRUE
13245,220.16,52.03,316.06,TRUE,FALSE,FALSE
13247,208.82,123.9,464.92,TRUE,TRUE,TRUE
13255,255.12,164.05,548.36,TRUE,TRUE,TRUE
13295,140.74,35.81,167.36,TRUE,TRUE,FALSE
13297,202.42,59.19,509.79,TRUE,TRUE,TRUE
13313,166.76,51.61,273.17,TRUE,FALSE,TRUE
15003,272.65,195.95,914.68,TRUE,FALSE,FALSE
16019,191.88,70.65,536.25,TRUE,FALSE,FALSE
16069,274.79,70.84,798.91,TRUE,FALSE,FALSE
17007,193.59,77.34,321.9,FALSE,TRUE,FALSE
17037,265.85,20.28,476.18,FALSE,TRUE,TRUE
17043,350.32,6,385.89,FALSE,TRUE,TRUE
17063,223.02,43.21,564.72,FALSE,TRUE,TRUE
17073,251.87,32.43,375.73,FALSE,FALSE,FALSE
17117,220.46,23.4,144.24,FALSE,TRUE,FALSE
17119,267.25,9.54,401.39,FALSE,TRUE,FALSE
17133,190.23,31.9,404.44,FALSE,TRUE,FALSE
17161,318.03,22.47,551.09,FALSE,FALSE,FALSE
17179,248.24,12.67,250.09,FALSE,TRUE,FALSE
17201,351.68,19.51,394.36,FALSE,TRUE,FALSE
18163,277.34,111.41,678.83,TRUE,FALSE,FALSE
19061,221.02,60.88,753.11,TRUE,FALSE,FALSE
19163,239.79,20.11,920.73,FALSE,FALSE,FALSE
20045,220.83,40.9,659.09,TRUE,FALSE,FALSE
20079,196.44,26.25,538.42,FALSE,TRUE,TRUE
20121,174.69,48.04,723.07,TRUE,TRUE,TRUE
20173,243.29,9.96,647.83,FALSE,TRUE,TRUE
20177,300.62,53.05,692.85,FALSE,FALSE,TRUE
20209,356.03,48.83,660.45,TRUE,TRUE,TRUE
21015,135.04,75.6,189.6,TRUE,TRUE,FALSE
21019,127.62,54.05,225.19,TRUE,FALSE,FALSE
21047,177.53,38.88,170.53,TRUE,FALSE,FALSE
21049,119.1,59.12,142.72,TRUE,FALSE,FALSE
21059,164.72,69.89,203.9,TRUE,FALSE,FALSE
21067,169.62,41.99,306.22,TRUE,FALSE,FALSE
21089,110.46,18.77,224.42,FALSE,FALSE,FALSE
21101,145.76,84.12,258.33,TRUE,FALSE,FALSE
21113,167.73,57.5,165.67,TRUE,FALSE,FALSE
21163,44.17,16.23,132.81,FALSE,TRUE,FALSE
21179,86.57,27.3,166.82,FALSE,TRUE,FALSE
21209,121.4,51.68,118.94,TRUE,FALSE,FALSE
21211,94.3,37.06,167.14,FALSE,TRUE,FALSE
21227,181.56,35.52,208.06,FALSE,FALSE,FALSE
21239,253.92,93.78,114.86,TRUE,FALSE,FALSE
22005,224.3,112.15,415.33,TRUE,TRUE,FALSE
22015,375.97,129.62,407.55,TRUE,TRUE,FALSE
22019,342.06,57.7,601.65,TRUE,TRUE,FALSE
22031,316.79,128.06,1075.2,TRUE,TRUE,FALSE
22033,332.17,43.34,398.31,TRUE,TRUE,FALSE
22047,452.48,82.59,635.22,TRUE,TRUE,FALSE
22051,261.02,52.34,608.16,TRUE,TRUE,FALSE
